Check Plugin,Works on CentOS,Works on Fedora,Works on Ubuntu,Works on Windows,Python Version,Requires 3rd Party Python Libs,Needs sudoers,Default WARN,Default CRIT
about-me,"7, 8",30+,"16, 20",no,2,psutil,no, ,
apache-httpd-status,"7, 8",30+,"16, 20",no,2, ,no,#workers >= 80%,#workers >= 95%
atlassian-confluence-version,"7, 8",30+,"16, 20",no,2, ,no,update avail.,
atlassian-jira-version,"7, 8",30+,"16, 20",no,2, ,no,update avail.,
axenita-stats,"7, 8",30+,"16, 20",no,"2, 3",,no,,
borgbackup,"7, 8",30+,"16, 20",no,2, ,no,last backup >= 24h,
countdown,"7, 8",30+,"16, 20",no,2, ,no,50 days,30 days
cpu-usage,"7, 8",30+,"16, 20",yes,"2, 3",psutil,no,5x >= 80%,5x >= 90%
disk-io,"7, 8",no,"16, 20",no,2,psutil,no,5x >= 60 mb/sec,5x >= 100 mb/sec
disk-smart,"7, 8",30+,"16, 20",no,2, ,yes,complex,complex
disk-usage,"7, 8",30+,"16, 20",yes,"2, 3",psutil,yes,>= 90%,>= 95%
dmesg,"7, 8",30+,"16, 20",no,2, ,no, ,"dmesg == emerg,alert,crit,err"
dns,"7, 8",30+,"16, 20",no,2, ,no,socket or address related errors,
docker-info,"7, 8",30+,"16, 20",no,"2, 3", ,yes,docker related warnings,docker related errors
odocker-stats,"7, 8",30+,"16, 20",no,"2, 3",,yes,"container-cpu 5x >= 80%, container-memory >= 90%","container-cpu 5x >= 90%, container-memory >= 95%"
dummy,"7, 8",30+,"16, 20",yes,"2, 3",,no,user-defined,user-defined
fah-stats,"7, 8",30+,"16, 20",no,2, ,no, ,
fail2ban,"7, 8",30+,"16, 20",no,2, ,yes,>= 1000 banned ips,>= 10000 banned ips
feed,"7, 8",30+,"16, 20",no,2, ,no,3d on new entries,
file-age,"7, 8",30+,"16, 20",yes,"2, 3",smbclient (if using smb),no,>= 30d,>= 365d
file-count,"7, 8",30+,"16, 20",yes,"2, 3",smbclient (if using smb),no,None,None
file-descriptors,"7, 8",30+,"16, 20",no,2,psutil,no,>= 90%,>= 95%
file-ownership,"7, 8",30+,"16, 20",no,2, ,no,complex,complex
file-size,"7, 8",30+,"16, 20",yes,"2, 3",smbclient (if using smb),no,>= 25M,>= 1G
fortios-cpu-usage,"7, 8",30+,"16, 20",no,2, ,no,5x >= cpu-use-threshold/80%,5x >= 90%
fortios-firewall-stats,"7, 8",30+,"16, 20",no,2, ,no, ,
fortios-ha-stats,"7, 8",30+,"16, 20",no,2, ,no,cluster members != expected,
fortios-memory-usage,"7, 8",30+,"16, 20",no,2, ,no,> memory-use-threshold-green/82%,> memory-use-threshold-red/88%
fortios-network-io,"7, 8",30+,"16, 20",no,2, ,no,">= 800mbps, link changes",">= 900mbps, link changes"
fortios-sensor,"7, 8",30+,"16, 20",no,2, ,no,complex,complex
fortios-version,"7, 8",30+,"16, 20",no,2, ,no,update avail.,
fs-file-usage,"7, 8",30+,"16, 20",no,2, ,no,>= 90%,>= 95%
fs-inodes,"7, 8",30+,"16, 20",no,2, ,no,>= 90%,>= 95%
fs-ro,"7, 8",30+,"16, 20",no,2, ,no,read-only mount points found,
getent,"7, 8",30+,"16, 20",no,2, ,no,key not found,
hostname-fqdn,"7, 8",30+,"16, 20",no,2, ,no,invalid fqdn,
ipmi-sel,"7, 8",30+,"16, 20",no,2, ,yes,any entries found,
ipmi-sensor,"7, 8",30+,"16, 20",no,2, ,yes,complex,complex
json-values,"7, 8",30+,"16, 20",yes,"2, 3",smbclient (if using smb),no,read from the json file,read from the json file
kemp-services,"7, 8",30+,"16, 20",no,2, ,no,"service == ""down""",
keycloak-version,"7, 8",30+,"16, 20",no, , , ,update avail.,
kvm-vm,"7, 8",30+,"16, 20",no,2, ,yes,"idle, paused, pmsuspended vm",crashed vm
load,"7, 8",30+,"16, 20",no,2,psutil,no,>= 1.15 load15,>= 5.00 load15
mailq,"7, 8",30+,"16, 20",no,2, ,no,>= 2 mails,>= 250 mails
matomo-reporting,"7, 8",30+,"16, 20",no,2, ,no,complex,complex
matomo-version,"7, 8",30+,"16, 20",no,2, ,no,server update avail.,
memory-usage,"7, 8",30+,"16, 20",yes,"2, 3",psutil,no,>= 90%,>= 95%
mysql-stats,7,no,16,no,2,"psutil, mysql.connector",no,complex,complex
needs-restarting,"7, 8",30+,no,no,2, ,yes,(service) reboot needed,
network-bonding, , , ,no,"2, 3", , ,"interface != up, configuration warnings",
network-connections,"7, 8",30+,"16, 20",yes,"2, 3",psutil,no, ,
network-port-tcp,"7, 8",30+,"16, 20",no,2, ,no,unreachable,
nextcloud-security-scan,"7, 8",30+,"16, 20",no,2, ,no,"outdated scan result, low rating",lowest rating
nextcloud-stats,"7, 8",30+,"16, 20",no,2, ,no,app updates avail.,
nextcloud-version,"7, 8",30+,"16, 20",no,2, ,no,server update avail.,
nginx-status,"7, 8",30+,"16, 20",no,"2, 3",,no,>= 460 connections or handled conns != accepted conns,>= 486 connections
ntp-offset,"7, 8",30+,"16, 20",no,2, ,no,>= 800ms or stratum >= 9,>= 1001ms
onlyoffice-stats,"7, 8",30+,"16, 20",no,"2, 3",,no,complex,complex
openvpn-client-list,"7, 8",30+,"16, 20",no,2, ,yes, ,
ping,"7, 8",30+,"16, 20",no,2, ,no, ,100% packet loss
pip-version,"7, 8",30+,"16, 20",no,2, ,no,update avail.,
procs,"7, 8",30+,"16, 20",yes,"2, 3",psutil,no, ,
qts-cpu-usage,7,30+, ,no,2, ,no,5x >= 80%,5x >= 90%
qts-disk-smart,7,30+, ,no,2, ,no,complex,complex
qts-memory-usage,7,30+, ,no,2, ,no,>= 80%,>= 90%
qts-temperatures,7,30+, ,no,2, ,no,>= 70C,>= 80C
qts-uptime,7,30+, ,no,2, ,no, ,
qts-version,7,30+, ,no,2, ,no,update avail.,
rocket.chat-stats,"7, 8",30+,"16, 20",no,2, ,no, ,
rocket.chat-version,"7, 8",30+,"16, 20",no,2, ,no,server update avail.,
rpm-lastactivity,"7, 8",30+,no,no,2, ,no,> 90d,> 365d
scheduled-task,no,no,no,yes,3, , ,complex,complex
selinux-mode,"7, 8",30+,no,no,2, ,no,!= enforcing,
sensors-battery,"7, 8",30+,"16, 20",no,2,psutil,no,battery power <= 20%,battery power <= 5%
sensors-fans,"7, 8",30+,"16, 20",no,2,psutil,no,fan speed >= 10000 rpm,fan speed => 20000 rpm
sensors-temperatures,"7, 8",30+,"16, 20",no,2,psutil,no,sensor temp >= hardware threshold sensor temp >= hardware threshold,
service,no,no,no,yes,3, , ,complex,complex
snmp,"7, 8",30+,,no,"2, 3",,,complex,complex
swap-usage,"7, 8",30+,"16, 20",no,2,psutil,no,>= 70%,>= 90%
systemd-unit,"7, 8",30+,"16, 20",no,2, ,no,complex,
systemd-units-failed,"7, 8",30+,"16, 20",no,2, ,no,>= 1 unit in failed act/sub state,
top3-most-memory-consuming-processes,"7, 8",30+,"16, 20",no,2,psutil,yes, ,
top3-processes-opening-more-file-descriptors,"7, 8",30+,"16, 20",no,2,psutil,yes, ,
top3-processes-which-caused-the-most-io,"7, 8",30+,"16, 20",no,2,psutil,yes, ,
top3-processes-which-consumed-the-most-cpu-time,"7, 8",30+,"16, 20",no,2,psutil,yes, ,
updates,no,no,no,yes,3, , ,>= 1,>= 50
uptime,"7, 8",30+,"16, 20",yes,"2, 3",psutil,no,>= 180d,>= 366d
users,"7, 8",30+,"16, 20",yes,"2, 3", ,no,>= 1 tty,
wildfly-stats,"7, 8",30+,"16, 20",no,2,,,complex,complex
wordpress-version,"7, 8",30+,"16, 20",no,2, ,no,update avail.,
xca-cert,7,no,16,no,2,mysql.connector,no,expiry date <= 14d,expiry date <= 5d
